ID	G10B	Mu05	Mu51	G1A	Mu26	G10H	G10L	Mu11	G10C	Mu10	Mu23	G10D	G10P	G10X	Mu61	Cxx20	G10M	Mu09	G10J	Mu59	Mu50
MutaM	132/146	131/131	115/123	184/184	182/182	235/255	153/153	88/88	99/103	112/124	152/152	167/174	167/167	144/144	141/143	121/123	204/214	192/192	88/88	121/121	93/97
MutaF	132/148	131/131	123/123	184/190	182/182	255/255	155/155	88/88	99/101	112/124	152/152	167/174	167/169	140/144	141/143	123/139	214/214	192/192	78/78	115/121	79/93
Zirovnica_Jaka	132/146	131/131	119/123	184/190	182/182	237/255	153/155	88/88	101/103	112/124	152/152	167/174	167/169	140/144	143/149	121/139	204/214	174/192	78/88	121/121	79/97
Zirovnica_Mici	146/148	131/131	115/123	184/190	182/182	235/255	153/155	88/90	99/107	112/124	146/152	167/174	167/167	140/144	141/149	123/139	214/214	174/192	78/88	115/121	93/93
Nanos_Mitko	146/146	131/135	119/123	184/190	182/182	235/237	155/155	88/92	103/107	112/124	146/152	176/182	167/167	140/140	141/149	139/139	NA/NA	174/192	78/88	115/121	93/93
Horjul_Lino	132/148	135/135	119/123	184/190	182/182	255/255	153/155	88/88	99/107	112/124	146/152	176/182	167/167	140/140	141/141	139/139	214/214	192/192	78/88	99/115	93/93
Horjul_Timi	132/146	131/131	115/123	184/190	182/182	255/255	155/155	88/88	99/101	112/124	152/152	176/182	167/169	140/140	141/141	123/139	214/214	174/192	78/88	99/121	79/97
Zoo_Cupa	146/148	129/137	115/123	180/184	182/182	235/237	159/161	88/94	99/105	112/128	150/152	172/180	161/169	136/154	141/145	121/141	210/218	192/192	78/90	101/109	79/99
