"AnimalID" "Samp" "HyPop" "Pop" "St" "Region" "BirthPack" "Reproducti" "IsReproduc" "QI" "SType" "Dt" "NumAmpedLo" "amelogenin" "SRY" "GeneticSex" "MatchedOK" "Str_p_Wolf" "pWolf" "GIS_X" "GIS_Y"
"699" "AP.08AT" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 0.892857 "Tissue" "26.12.2011" 42 "1 2" "1 1" "M" 0 0.9801 0.952 606933 -118594
"655" "AP.087M" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 0.884921 "Tissue" "10.01.2011" 42 "2 2" NA "F" 0 0.9809 0.9534 613331 -130630
"687" "AP.08A6" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 0.892857 "Tissue" "31.03.2011" 42 "2 2" NA "F" 0 0.9811 0.9722 624325 -173381
"682" "AP.08A0" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 0.884921 "Tissue" "19.02.2010" 42 "1 2" "1 1" "M" 0 0.9838 0.9822 650145 -176325
"568" "AP.081A" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 1 "Tissue" "29.11.2007" 37 "1 2" "1 1" "M" 0 0.9863 0.9752 581590 -124917
"688" "AP.08A8" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 0.896825 "Tissue" "3.02.2012" 42 "1 2" "1 1" "M" 0 0.9885 0.988 596714 -127160
"621" "AP.085L" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 1 "Tissue" "18.10.2007" 37 "2 2" NA "F" 0 0.9904 0.9906 596310 -163519
"569" "AP.081C" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 1 "Tissue" "11.01.2008" 37 "1 2" "1 1" "M" 0 0.9907 0.9896 572852 -128522
"501" "AP.07P8" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 1 "Tissue" "22.12.2004" 37 "2 2" NA "F" 0 0.9909 0.998 634792 -159051
"563" "AP.0810" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 0.945946 "Tissue" "14.06.2005" 37 "2 2" NA "F" 0 0.9928 0.994 660936 -182164
"690" "AP.08AC" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 0.912698 "Tissue" "20.11.2011" 42 "2 2" NA "F" 0 0.9929 0.9858 667167 -199061
"626" "AP.085Y" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 0.939024 "Tissue" "28.10.2012" 41 "2 2" "1 1" "F" 0 0.994 0.995 571353 -140123
"576" "AP.0820" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 0.959459 "Tissue" "4.11.2005" 37 "1 2" "1 1" "M" 0 0.9946 0.9912 599144 -148012
"674" "AP.088K" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 0.892857 "Tissue" "5.11.2010" 42 "2 2" NA "F" 0 0.995 0.9962 583803 -118613
"515" "AP.07T7" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 0.959459 "Tissue" "28.10.1996" 37 "1 2" "1 1" "M" 0 0.995 0.992 618775 -136401
"758" "CH.0LM4" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 0.914634 "Tissue" "30.12.2012" 41 "2 2" NA "F" 0 0.9954 0.9954 651053 -178019
"591" "AP.083Y" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 0.986486 "Tissue" "11.03.2007" 37 "2 2" NA "F" 0 0.996 0.9948 572852 -128522
"526" "AP.07U6" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 0.986486 "Tissue" "7.12.2003" 37 "1 2" "1 1" "M" 0 0.996 0.9964 596714 -127160
"587" "AP.083P" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 0.978378 "Tissue" "28.12.2008" 37 "1 2" "1 1" "M" 0 0.9961 0.9972 688582 -218050
"562" "AP.080Y" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 0.936937 "Decomposing Tissue" "17.02.2005" 37 "2 2" NA "F" 0 0.997 0.997 584701 -129153
"643" "AP.0872" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 0.892857 "Tissue" "26.12.2010" 42 "1 2" "1 1" "M" 0 0.997 0.9976 599241 -171068
"756" "CH.0LM2" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 0.939024 "Tissue" "27.01.2013" 41 "2 2" NA "F" 0 0.997 0.9978 606933 -118594
"599" "AP.084C" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 1 "Tissue" "3.03.2007" 37 "2 2" NA "F" 0 0.997 0.998 627283 -147468
"521" "AP.07U0" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 1 "Tissue" "30.08.2001" 37 "1 2" "1 1" "M" 0 0.9974 0.9952 685516 -211531
"579" "AP.0824" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 1 "Tissue" "1.10.2002" 37 "1 2" "1 1" "M" 0 0.9975 0.998 632885 -163751
"500" "AP.07P6" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 0.945946 "Tissue" "15.06.1998" 37 "2 2" NA "F" 0 0.9976 0.997 599900 -173400
"673" "AP.088J" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 0.892857 "Tissue" "7.11.2011" 42 "1 2" "1 1" "M" 0 0.9979 0.998 574843 -126806
"755" "CH.0LM1" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 0.939024 "Tissue" "6.01.2013" 41 "2 2" NA "F" 0 0.998 0.998 582367 -157302
"694" "AP.08AJ" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 0.892857 "Tissue" "13.03.2011" 42 "2 2" NA "F" 0 0.998 0.998 587447 -164705
"497" "AP.07P2" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 1 "Tissue" "25.10.1998" 37 "2 2" NA "F" 0 0.998 0.998 603350 -170790
"498" "AP.07P4" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 1 "Tissue" "27.01.1997" 37 "2 2" NA "F" 0 0.998 0.998 625246 -148198
